Date,Rain
2017-05-01,37.2
2017-05-03,0.2
2017-05-04,0.2
2017-05-05,22.0
2017-05-06,9.4
2017-05-07,6.6
2017-05-13,2.0
2017-05-14,4.6
2017-05-18,0.6
2017-05-21,2.8
2017-05-22,7.2
2017-05-25,11.0
2017-05-26,1.6
2017-05-29,8.0
2017-05-30,9.0
2017-05-31,1.6
2017-06-02,5.2
2017-06-05,42.4
2017-06-06,11.0
2017-06-12,2.2
2017-06-15,0.2
2017-06-16,25.4
2017-06-18,0.8
2017-06-19,1.0
2017-06-20,16.8
2017-06-21,0.8
2017-06-23,13.6
2017-06-25,0.2
2017-06-26,2.6
2017-06-27,1.8
2017-06-28,0.4
2017-06-29,4.2
2017-06-30,6.6
2017-07-01,6.4
2017-07-02,0.6
2017-07-07,10.2
2017-07-08,20.0
2017-07-09,0.6
2017-07-10,2.2
2017-07-12,0.6
2017-07-13,0.6
2017-07-14,9.2
2017-07-15,0.2
2017-07-16,3.2
2017-07-17,1.8
2017-07-19,8.0
2017-07-20,8.8
2017-07-24,17.8
2017-07-25,1.6
2017-07-27,0.6
2017-07-31,33.0
2017-08-04,34.0
2017-08-07,0.6
2017-08-12,7.0
2017-08-13,1.0
2017-08-15,7.2
2017-08-18,16.6
2017-08-22,10.0
2017-08-31,0.6
2017-09-03,25.0
2017-09-04,2.4
2017-09-05,0.8
2017-09-06,1.0
2017-09-07,17.6
2017-09-08,0.8
2017-09-09,0.6
2017-09-27,5.6
2017-10-04,6.8
2017-10-07,4.8
2017-10-08,6.4
2017-10-09,29.6
2017-10-14,0.4
2017-10-15,11.0
2017-10-24,32.0
2017-10-26,4.0
2017-10-29,26.6
2017-10-30,0.6
2017-10-31,0.4
2018-05-02,0.2
2018-05-03,13.2
2018-05-04,5.2
2018-05-10,0.4
2018-05-15,1.2
2018-05-19,5.8
2018-05-20,9.2
2018-05-22,2.6
2018-05-25,0.6
2018-05-26,7.8
2018-05-27,0.4
2018-05-28,2.0
2018-05-31,0.4
2018-06-03,5.0
2018-06-04,23.0
2018-06-05,0.6
2018-06-13,4.6
2018-06-14,10.4
2018-06-15,0.2
2018-06-17,0.8
2018-06-18,19.0
2018-06-20,0.8
2018-06-23,4.0
2018-06-24,5.4
2018-06-27,2.2
2018-06-28,0.2
2018-06-30,5.8
2018-07-14,0.4
2018-07-17,31.8
2018-07-22,5.0
